# timestep mean_visual_torque mean_align_torque std_visual_torque std_align_torque
2020000.000000 0.068424 0.210463 0.061903 0.157903
2025000.000000 0.069687 0.227915 0.064702 0.162781
2030000.000000 0.063749 0.206582 0.060719 0.150624
2035000.000000 0.065403 0.211426 0.060526 0.154309
2040000.000000 0.063075 0.210443 0.058298 0.159140
2045000.000000 0.065505 0.204221 0.060882 0.151012
2050000.000000 0.066722 0.214233 0.061300 0.155764
2055000.000000 0.066052 0.223171 0.056639 0.156850
2060000.000000 0.065977 0.212982 0.061458 0.153958
2065000.000000 0.065436 0.202436 0.058279 0.151024
2070000.000000 0.064401 0.211428 0.063406 0.149545
2075000.000000 0.066991 0.207154 0.062068 0.150522
2080000.000000 0.068110 0.218026 0.065490 0.153931
2085000.000000 0.071807 0.196768 0.066379 0.153440
2090000.000000 0.070593 0.207408 0.065868 0.150162
2095000.000000 0.070372 0.215622 0.065652 0.159142
2100000.000000 0.067901 0.198589 0.062137 0.152263
2105000.000000 0.070095 0.208752 0.062611 0.151803
2110000.000000 0.072102 0.204170 0.065808 0.156851
2115000.000000 0.070253 0.216094 0.069202 0.154192
2120000.000000 0.072970 0.211907 0.063890 0.157799
2125000.000000 0.071877 0.221015 0.064037 0.155850
2130000.000000 0.069137 0.201541 0.062990 0.149705
2135000.000000 0.067401 0.209760 0.066274 0.154586
2140000.000000 0.071189 0.209173 0.062644 0.153120
2145000.000000 0.075153 0.208794 0.070010 0.158445
2150000.000000 0.068941 0.216028 0.062848 0.152283
2155000.000000 0.073335 0.214170 0.067813 0.151936
2160000.000000 0.071065 0.208922 0.065145 0.150879
2165000.000000 0.063156 0.213959 0.057606 0.154804
2170000.000000 0.063393 0.219006 0.056949 0.155791
2175000.000000 0.062072 0.217879 0.056833 0.154323
2180000.000000 0.066932 0.217672 0.059401 0.157849
2185000.000000 0.064128 0.214912 0.056877 0.154493
2190000.000000 0.060471 0.217217 0.056542 0.153812
2195000.000000 0.062799 0.218216 0.060996 0.163345
2200000.000000 0.063455 0.211020 0.062342 0.154688
2205000.000000 0.067986 0.217651 0.066090 0.152439
2210000.000000 0.065249 0.217241 0.060078 0.156626
2215000.000000 0.063736 0.217795 0.059493 0.157166
2220000.000000 0.070210 0.210273 0.059032 0.156162
2225000.000000 0.068683 0.213611 0.061651 0.156553
2230000.000000 0.070309 0.211790 0.063389 0.156509
2235000.000000 0.069851 0.218536 0.061897 0.155224
2240000.000000 0.066848 0.211150 0.064682 0.159484
2245000.000000 0.066726 0.203049 0.059614 0.152693
2250000.000000 0.064914 0.208139 0.060937 0.148698
2255000.000000 0.067607 0.220600 0.058868 0.151942
2260000.000000 0.070018 0.222207 0.064548 0.159461
2265000.000000 0.069361 0.202382 0.060152 0.153071
2270000.000000 0.067321 0.201575 0.059989 0.149822
2275000.000000 0.063886 0.213263 0.059881 0.154108
2280000.000000 0.070125 0.214316 0.060614 0.155897
2285000.000000 0.068742 0.209336 0.061638 0.149992
2290000.000000 0.067723 0.208330 0.058587 0.161237
2295000.000000 0.070278 0.208986 0.064076 0.150335
2300000.000000 0.064306 0.202593 0.057322 0.154707
2305000.000000 0.065528 0.223374 0.059370 0.156456
2310000.000000 0.072359 0.209838 0.063350 0.155102
2315000.000000 0.068182 0.206669 0.061668 0.146237
2320000.000000 0.070435 0.206640 0.064124 0.159863
2325000.000000 0.069784 0.218023 0.062423 0.154311
2330000.000000 0.068027 0.207930 0.059330 0.148428
2335000.000000 0.065643 0.202670 0.054609 0.154767
2340000.000000 0.064124 0.208543 0.059548 0.157535
2345000.000000 0.064415 0.207015 0.058668 0.149521
2350000.000000 0.065762 0.202922 0.060711 0.147002
2355000.000000 0.065285 0.208567 0.059704 0.159595
2360000.000000 0.067044 0.220595 0.058737 0.161898
2365000.000000 0.071975 0.211002 0.066780 0.152357
2370000.000000 0.070359 0.227581 0.063437 0.163171
2375000.000000 0.069298 0.197756 0.063839 0.147163
2380000.000000 0.068107 0.206358 0.061413 0.147631
2385000.000000 0.063850 0.208693 0.058366 0.149968
2390000.000000 0.065967 0.204958 0.058744 0.152212
2395000.000000 0.072662 0.232975 0.067133 0.168462
2400000.000000 0.076465 0.222365 0.072179 0.158395
2405000.000000 0.071290 0.216097 0.067054 0.159560
2410000.000000 0.063678 0.212922 0.057755 0.160542
2415000.000000 0.066861 0.218749 0.062756 0.153750
2420000.000000 0.071190 0.200874 0.061092 0.147360
2425000.000000 0.069160 0.208642 0.063810 0.150672
2430000.000000 0.068209 0.211091 0.057941 0.153390
2435000.000000 0.071339 0.206332 0.065855 0.155802
2440000.000000 0.067407 0.218487 0.060676 0.153046
2445000.000000 0.068195 0.213437 0.058237 0.154442
2450000.000000 0.066087 0.200901 0.061324 0.155761
2455000.000000 0.064875 0.206418 0.061732 0.152730
2460000.000000 0.069008 0.221931 0.062209 0.168898
2465000.000000 0.073959 0.216583 0.069013 0.162385
2470000.000000 0.069847 0.215808 0.066317 0.154714
2475000.000000 0.072803 0.209169 0.061368 0.154153
2480000.000000 0.068998 0.225008 0.061143 0.163619
2485000.000000 0.072413 0.212733 0.061828 0.157618
2490000.000000 0.071476 0.210187 0.067379 0.156032
2495000.000000 0.071867 0.217224 0.068226 0.157376
2500000.000000 0.079464 0.216459 0.071097 0.152851
2505000.000000 0.074914 0.209546 0.068060 0.153356
2510000.000000 0.068253 0.202481 0.061503 0.157754
2515000.000000 0.071001 0.217137 0.063240 0.158185
2520000.000000 0.071936 0.209445 0.064361 0.158554
2525000.000000 0.073701 0.213727 0.067930 0.153010
2530000.000000 0.074095 0.214976 0.068817 0.157261
2535000.000000 0.072624 0.200886 0.062998 0.152893
2540000.000000 0.074034 0.211587 0.070157 0.154136
2545000.000000 0.067410 0.222451 0.058317 0.153231
2550000.000000 0.065039 0.214282 0.058016 0.158558
2555000.000000 0.063850 0.204969 0.058673 0.143765
2560000.000000 0.068202 0.216619 0.061323 0.154216
2565000.000000 0.072637 0.212824 0.066538 0.156975
2570000.000000 0.066245 0.207917 0.059233 0.150605
2575000.000000 0.069719 0.218659 0.062290 0.158987
2580000.000000 0.070631 0.211776 0.063115 0.157282
2585000.000000 0.070672 0.217728 0.065453 0.156669
2590000.000000 0.068232 0.202693 0.063687 0.149585
